date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:01	33815/33815	---M-Z	200	added ('OK')	text/html	etag:%228417-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/index.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/index.html	(from )
20:05:01	286/286	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2003:05:01%20GMT	https://templates.iqonic.design/robots.txt		(from )
20:05:01	10806/10806	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222a36-5c68708ea75be%22	https://templates.iqonic.design/vizion/computer-vizion/images/favicon.ico	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/images/favicon.ico	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:01	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5c68708e8ef1d-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/css/bootstrap.min.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/css/bootstrap.min.css	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:01	9605/9605	---M-Z	200	added ('OK')	text/css	etag:%222585-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/css/typography.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/css/typography.css	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:02	33560/33560	---M-Z	200	added ('OK')	text/css	etag:%228318-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/css/style.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/css/style.css	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:02	8795/8795	---M-Z	200	added ('OK')	text/css	etag:%22225b-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/css/responsive.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/css/responsive.css	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:02	33251/33251	---M--	200	added ('OK')	image/gif	etag:%2281e3-5c68708ea75be%22	https://templates.iqonic.design/vizion/computer-vizion/images/loader.gif	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/images/loader.gif	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:02	3786/3786	---M--	200	added ('OK')	image/png	etag:%22eca-5c68708ea75be%22	https://templates.iqonic.design/vizion/computer-vizion/images/logo.png	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/images/logo.png	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:03	67846/67846	---M-Z	200	added ('OK')	text/html	etag:%2210906-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/about-us.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/about-us.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:03	16666/16666	---M-Z	200	added ('OK')	text/html	etag:%22411a-5cfcbe709391f-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/solutions.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/solutions.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:03	17379/17379	---M-Z	200	added ('OK')	text/html	etag:%2243e3-5cfcbe709391f-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/technology.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/technology.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:03	16354/16354	---M-Z	200	added ('OK')	text/html	etag:%223fe2-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/contact-us.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/contact-us.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:04	18427/18427	---M-Z	200	added ('OK')	text/html	etag:%2247fb-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/blog.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/blog.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:04	21532/21532	---M-Z	200	added ('OK')	text/html	etag:%22541c-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/blog-details-left-sidebar.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/blog-details-left-sidebar.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:04	21574/21574	---M-Z	200	added ('OK')	text/html	etag:%225446-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/blog-details-right-sidebar.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/blog-details-right-sidebar.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
20:05:04	2303/2303	---M-Z	200	added ('OK')	text/html	etag:%228ff-5c68708e8df7d-gzip%22	https://templates.iqonic.design/vizion/computer-vizion/404-error.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%203/templates.iqonic.design/vizion/computer-vizion/404-error.html	(from https://templates.iqonic.design/vizion/computer-vizion/index.html)
