date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:33	25747/25747	---M-Z	200	added ('OK')	text/html	etag:%226493-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/index.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/index.html	(from )
20:16:33	286/286	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2003:16:33%20GMT	https://templates.iqonic.design/robots.txt		(from )
20:16:33	10806/10806	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222a36-5c68708ed92a1%22	https://templates.iqonic.design/vizion/digital-marketing/images/favicon.ico	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/favicon.ico	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:34	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5c68708ec69c0-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/css/bootstrap.min.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/css/bootstrap.min.css	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:34	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c68708ec69c0-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/css/magnific-popup.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/css/magnific-popup.css	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:34	7763/7763	---M-Z	200	added ('OK')	text/css	etag:%221e53-5c815167b7291-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/css/typography.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/css/typography.css	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:35	51060/51060	---M-Z	200	added ('OK')	text/css	etag:%22c774-5c815167b7291-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/css/style.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/css/style.css	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:35	8807/8807	---M-Z	200	added ('OK')	text/css	etag:%222267-5c815167b7291-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/css/responsive.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/css/responsive.css	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:35	37631/37631	---M--	200	added ('OK')	image/gif	etag:%2292ff-5c68708ed92a1%22	https://templates.iqonic.design/vizion/digital-marketing/images/loader.gif	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/loader.gif	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:35	4904/4904	---M--	200	added ('OK')	image/png	etag:%221328-5c68708ed92a1%22	https://templates.iqonic.design/vizion/digital-marketing/images/logo.png	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/logo.png	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:36	29728/29728	---M-Z	200	added ('OK')	text/html	etag:%227420-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/about-us.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/about-us.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:36	19777/19777	---M-Z	200	added ('OK')	text/html	etag:%224d41-5cfcb83decc1d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/services.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/services.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:36	17306/17306	---M-Z	200	added ('OK')	text/html	etag:%22439a-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/contact.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/contact.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:36	10547/10547	---M-Z	200	added ('OK')	text/html	etag:%222933-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/login.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/login.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:37	11111/11111	---M-Z	200	added ('OK')	text/html	etag:%222b67-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/register.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/register.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:37	23381/23381	---M-Z	200	added ('OK')	text/html	etag:%225b55-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/blog-details.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/blog-details.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:37	14668/14668	---M-Z	200	added ('OK')	text/html	etag:%22394c-5cfcb83debc7d-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/pricing.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/pricing.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:37	2101/2101	---M-Z	200	added ('OK')	text/html	etag:%22835-5c68708ec69c0-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/404-error.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/404-error.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:38	3071/3071	---M-Z	200	added ('OK')	text/html	etag:%22bff-5c68708ec69c0-gzip%22	https://templates.iqonic.design/vizion/digital-marketing/comingsoon.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/comingsoon.html	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:38	11507/11507	---M--	200	added ('OK')	image/png	etag:%222cf3-5c68708ed7361%22	https://templates.iqonic.design/vizion/digital-marketing/images/banner/03.png	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/banner/03.png	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:38	4359/4359	---M--	200	added ('OK')	image/png	etag:%221107-5c68708ed92a1%22	https://templates.iqonic.design/vizion/digital-marketing/images/feature/01.png	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/feature/01.png	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:38	3486576/3486576	---M--	200	added ('OK')	video/mp4	etag:%22353370-5c68708ee6d62%22	https://templates.iqonic.design/vizion/digital-marketing/video/01.mp4	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/video/01.mp4	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:38	6801/6801	---M--	200	added ('OK')	image/png	etag:%221a91-5c68708ed92a1%22	https://templates.iqonic.design/vizion/digital-marketing/images/feature/02.png	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/feature/02.png	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
20:16:39	5889/5889	---M--	200	added ('OK')	image/png	etag:%221701-5c68708ed92a1%22	https://templates.iqonic.design/vizion/digital-marketing/images/feature/03.png	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%209/templates.iqonic.design/vizion/digital-marketing/images/feature/03.png	(from https://templates.iqonic.design/vizion/digital-marketing/index.html)
