date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:23	36892/36892	---M-Z	200	added ('OK')	text/html	etag:%22901c-60d689fa7ede8-gzip%22	https://templates.iqonic.design/vizion/chatbot/index.html	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/index.html	(from )
20:03:24	286/286	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2003:03:23%20GMT	https://templates.iqonic.design/robots.txt		(from )
20:03:24	10806/10806	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222a36-5c68708e881bd%22	https://templates.iqonic.design/vizion/chatbot/images/favicon.ico	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/images/favicon.ico	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:24	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5c68708e7493c-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/bootstrap.min.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/bootstrap.min.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:24	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c68708e7687c-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/magnific-popup.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/magnific-popup.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:24	3464/3464	---M-Z	200	added ('OK')	text/css	etag:%22d88-5c68708e7493c-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/circle.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/circle.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:25	6280/6280	---M-Z	200	added ('OK')	text/css	etag:%221888-5c68708e7493c-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/chatbot.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/chatbot.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:25	9953/9953	---M-Z	200	added ('OK')	text/css	etag:%2226e1-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/typography.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/typography.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:25	50554/50554	---M-Z	200	added ('OK')	text/css	etag:%22c57a-5c815167b43b1-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/style.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/style.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:25	8393/8393	---M-Z	200	added ('OK')	text/css	etag:%2220c9-5c68708e7687c-gzip%22	https://templates.iqonic.design/vizion/chatbot/css/responsive.css	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/css/responsive.css	(from https://templates.iqonic.design/vizion/chatbot/index.html)
20:03:26	40613/40613	---M--	200	added ('OK')	image/gif	etag:%229ea5-5cfcb83debc7d%22	https://templates.iqonic.design/vizion/chatbot/images/loader.gif	C:/Users/varun/Documents/Website%20Cloner/My%20AI%20Website%202/templates.iqonic.design/vizion/chatbot/images/loader.gif	(from https://templates.iqonic.design/vizion/chatbot/index.html)
